family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9
2,20,103,44,97,56,67,19,155,61,160,,104,156,43,126,130,116,6,113
3,81,22,163,138,57,23,39,122,121,17,49,101,159,85,134,41,100,55,144
3,136,36,146,80,91,150,158,28,120,27,118,168,92,117,112,166,110,33,170
1,174,,,,,,,,,,,,,,,,,,
1,83,,,,,,,,,,,,,,,,,,
1,109,42,68,,,,,,,,,171,90,46,96,77,82,175,141
1,89,125,98,84,51,,,,,,,106,37,64,59,5,151,173,157
1,31,164,115,111,78,34,32,,,,,45,69,172,94,127,3,167,62
1,60,,,,,,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,,,,,
1,133,,,,,,,,,,,,,,,,,,
1,137,,,,,,,,,,,,,,,,,,
1,52,,,,,,,,,,,,,,,,,,
1,76,,,,,,,,,,,,,,,,,,
1,114,,,,,,,,,,,,,,,,,,
1,119,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,
2,142,79,24,95,86,10,135,75,87,,,148,1,14,48,99,70,154,66
1,2,,,,,,,,,,,,,,,,,,
2,102,63,88,11,35,21,50,,,,,149,12,140,38,54,74,73,107
1,9,,,,,,,,,,,65,7,16,15,,,,
1,93,,,,,,,,,,,124,,,,,,,
1,25,,,,,,,,,,,123,,,,,,,
1,145,,,,,,,,,,,,,,,,,,
1,108,,,,,,,,,,,,,,,,,,
1,143,29,,,,,,,,,,147,165,128,18,129,153,71,161
1,26,,,,,,,,,,,139,152,,,,,,
1,131,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,162,47,53,105,30,,,
1,13,,,,,,,,,,,132,,,,,,,
1,58,,,,,,,,,,,169,72,,,,,,
