family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_20,order_3,order_4,order_5,order_6,order_7,order_8,order_9
3,240,74,286,102,267,227,247,75,132,,,54,,73,128,280,88,303,161,230
2,14,315,96,23,220,58,163,52,215,,,175,,297,105,222,133,224,22,213
3,29,181,219,176,39,50,288,,,,,207,,136,118,156,307,292,47,248
3,258,100,229,142,314,285,277,160,89,141,36,225,,217,233,79,127,192,91,173
3,16,153,144,178,143,187,95,302,,,,199,,164,48,231,130,309,24,120
3,238,216,245,223,151,158,31,177,34,80,,290,,283,270,134,254,214,255,135
3,196,10,212,62,109,,,,,,,18,,279,44,21,244,94,131,154
3,278,183,98,81,251,83,27,172,320,114,,159,,170,211,67,72,266,311,149
2,317,252,271,318,195,235,1,313,19,,,2,,174,125,193,85,300,60,197
2,182,145,43,206,101,322,282,17,35,146,200,28,139,234,243,246,301,9,147,310
3,250,104,186,68,55,241,121,257,155,,,293,,69,86,289,218,122,115,90
2,203,198,281,45,33,305,209,63,,,,64,,129,232,107,167,287,148,92
1,294,,,,,,,,,,,,,,,,,,,
1,205,,,,,,,,,,,,,,,,,,,
3,103,189,4,46,204,242,42,284,,,,194,,165,272,150,321,304,162,25
1,97,,,,,,,,,,,,,,,,,,,
1,41,,,,,,,,,,,,,,,,,,,
1,77,,,,,,,,,,,,,,,,,,,
1,106,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,87,,,,,,,,
3,264,84,13,185,,,,,,,,166,,113,319,111,262,49,65,202
1,201,,,,,,,,,,,,,,,,,,,
1,157,,,,,,,,,,,117,,,,,,,,
1,210,,,,,,,,,,,,,,,,,,,
3,188,265,123,116,37,26,221,56,,,,295,,7,15,6,5,3,51,8
3,306,,,,,,,,,,,,,,,,,,,
1,276,,,,,,,,,,,,,,,,,,,
2,299,,,,,,,,,,,,,,,,,,,
2,110,,,,,,,,,,,256,,,,,,,,
2,59,,,,,,,,,,,138,,,,,,,,
1,61,,,,,,,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,,,,,,
3,82,,,,,,,,,,,191,,71,275,,,,,
2,316,,,,,,,,,,,112,,,,,,,,
3,53,,,,,,,,,,,11,,108,,,,,,
3,32,291,273,296,179,38,298,253,236,,,190,,57,30,126,66,119,274,239
1,308,,,,,,,,,,,,,,,,,,,
3,169,,,,,,,,,,,259,,,,,,,,
3,323,,,,,,,,,,,184,,152,312,180,,,,
1,137,,,,,,,,,,,,,,,,,,,
2,268,,,,,,,,,,,124,,12,,,,,,
2,228,261,226,93,99,76,168,208,20,,,171,,237,260,70,140,269,78,263
