family,order_1,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9
3,65,78,81,6,30,130,58,124,125,77,11,18,107,41,47,115,4,126,21
3,36,113,91,42,19,37,64,75,110,34,122,121,93,114,96,33,101,63,92
3,106,129,3,61,,,,,,,,1,26,67,71,44,2,59,70
3,20,98,29,72,62,27,53,120,100,,,46,112,66,12,109,105,24,14
3,43,55,23,132,13,111,57,5,17,28,,73,104,84,54,69,39,94,76
3,127,90,50,16,51,15,97,10,87,49,31,117,89,85,103,82,80,22,35
3,83,,,,,,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,,,,,
1,68,,,,,,,,,,,,,,,,,,
1,95,,,,,,,,,,,,,,,,,,
1,60,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,
1,119,,,,,,,,,,,,,,,,,,
2,25,,,,,,,,,,,123,,,,,,,
1,52,,,,,,,,,,,,,,,,,,
1,116,,,,,,,,,,,,,,,,,,
1,131,,,,,,,,,,,,,,,,,,
1,56,,,,,,,,,,,,,,,,,,
3,45,88,7,86,9,,,,,,,38,99,118,32,128,48,102,79
1,108,,,,,,,,,,,,,,,,,,
1,74,,,,,,,,,,,,,,,,,,
